Name,Team,Role,Matches,Runs,Average,SR,Wickets
Ruturaj Gaikwad,CSK,BATSMAN,6,204,51.0,120.71,0
KL Rahul,PBKS,WICKET KEEPER,81,2647,44.86,135.81,0
David Warner,SRH,BATSMAN,142,5254,42.72,141.54,0
Jonny Bairstow,SRH,WICKET KEEPER,21,790,41.58,142.34,0
Chris Gayle,PBKS,BATSMAN,132,4772,41.14,150.11,18
MS Dhoni,CSK,WICKET KEEPER,204,4632,40.99,136.76,0
AB de Villiers,RCB,WICKET KEEPER,169,4849,40.41,151.91,0
Kane Williamson,SRH,BATSMAN,53,1619,39.49,134.8,0
Virat Kohli,RCB,BATSMAN,192,5878,38.17,130.74,4
Steven Smith,DC,BATSMAN,95,2333,35.35,129.25,0
Rishabh Pant,DC,WICKET KEEPER,68,2079,35.24,151.97,0
Jos Buttler,RR,WICKET KEEPER,58,1714,34.98,149.56,0
Shikhar Dhawan,DC,BATSMAN,176,5196,34.18,126.86,4
Chris Lynn,MI,BATSMAN,41,1280,33.68,140.66,0
David Miller,RR,BATSMAN,80,1850,33.64,138.78,0
Shubman Gill,KKR,BATSMAN,41,939,33.54,125.2,0
Suresh Raina,CSK,BATSMAN,193,5368,33.34,137.11,25
Faf du Plessis,CSK,BATSMAN,84,2302,32.89,129.25,0
Nicholas Pooran,PBKS,WICKET KEEPER,21,521,32.56,165.4,0
Basil Thampi,SRH,BOWLER,20,32,32.0,91.43,17
Mitchell Santner,CSK,ALL ROUNDER,6,32,32.0,139.13,6
Ajinkya Rahane,DC,BATSMAN,149,3933,31.72,121.39,1
Quinton de Kock,MI,WICKET KEEPER,66,1959,31.6,133.54,0
Devdutt Padikkal,RCB,BATSMAN,15,473,31.53,124.8,0
Shreyas Iyer,DC,BATSMAN,79,2200,31.43,126.07,0
Rohit Sharma,MI,BATSMAN,200,5230,31.32,130.62,15
Rahul Tewatia,RR,ALL ROUNDER,34,366,30.5,134.56,24
Suryakumar Yadav,MI,BATSMAN,101,2024,30.21,134.57,0
Hardik Pandya,MI,ALL ROUNDER,80,1349,29.98,159.27,42
Kieron Pollard,MI,ALL ROUNDER,164,3023,29.93,149.88,60
Andre Russell,KKR,ALL ROUNDER,74,1517,29.75,182.33,61
Vijay Shankar,SRH,ALL ROUNDER,40,654,29.73,127.73,6
Manish Pandey,SRH,BATSMAN,146,3268,29.71,121.67,0
Ambati Rayudu,CSK,BATSMAN,159,3659,29.51,126.09,0
Ishan Kishan,MI,WICKET KEEPER,51,1211,28.83,136.84,0
Moises Henriques,PBKS,ALL ROUNDER,57,969,28.5,128.17,38
Marcus Stoinis,DC,ALL ROUNDER,46,825,28.45,137.27,28
Robin Uthappa,CSK,WICKET KEEPER,189,4607,27.92,129.99,0
Sanju Samson,RR,WICKET KEEPER,107,2584,27.78,133.75,0
Nitish Rana,KKR,BATSMAN,60,1437,27.63,135.57,7
Saurabh Tiwary,MI,BATSMAN,88,1379,27.58,120.23,0
Jagadeesha Suchith,SRH,BOWLER,15,54,27.0,114.89,12
Tom Curran,DC,ALL ROUNDER,10,106,26.5,117.78,9
Ben Stokes,RR,ALL ROUNDER,42,920,26.29,135.1,28
