,Rank,Name,Symbol,Price,Circulating Supply
0,1,Bitcoin,BTC,34194.58,18938712
1,2,Ethereum,ETH,2270.78,119292815
2,3,Tether,USDT,1.00,78311766178
3,4,BNB,BNB,351.39,165116761
4,5,USD Coin,USDC,1.00,47861732704
5,6,Cardano,ADA,1.02,33550574442
6,7,XRP,XRP,0.58,47736918345
7,8,Solana,SOL,87.33,314690654
8,9,Terra,LUNA,65.80,402240379
9,10,Dogecoin,DOGE,0.13,132670764300
10,11,Polkadot,DOT,16.99,987579315
11,12,Avalanche,AVAX,58.02,244839860
12,13,Binance USD,BUSD,1.00,14031925099
13,14,TerraUSD,UST,1.00,11163985576
14,15,Shiba Inu,SHIB,0.00,549063278876302
15,16,Polygon,MATIC,1.40,7447892513
16,17,Cosmos,ATOM,34.19,286370297
17,18,Dai,DAI,1.00,9619013408
18,19,Wrapped Bitcoin,WBTC,34148.47,270557
19,20,Crypto.com Coin,CRO,0.34,25263013692
20,21,Litecoin,LTC,102.84,69484482
21,22,Chainlink,LINK,14.52,467009550
22,23,NEAR Protocol,NEAR,10.30,620237377
23,24,Uniswap,UNI,10.13,627321718
24,25,Algorand,ALGO,0.88,6530507353
25,26,TRON,TRX,0.05,101810254646
26,27,Bitcoin Cash,BCH,277.06,18964150
27,28,Fantom,FTM,2.05,2545006273
28,29,FTX Token,FTT,32.77,138472817
29,30,Stellar,XLM,0.18,24802247015
30,31,Internet Computer,ICP,20.31,199015444
31,32,Bitcoin BEP2,BTCB,34193.66,105096
32,33,Hedera,HBAR,0.20,18092792421
33,34,Decentraland,MANA,1.89,1824508435
34,35,UNUS SED LEO,LEO,3.53,953954130
35,36,VeChain,VET,0.05,64315576989
36,37,Ethereum Classic,ETC,22.96,132496594
37,38,Klaytn,KLAY,1.15,2604206557
38,39,Axie Infinity,AXS,47.14,60907500
39,40,Filecoin,FIL,17.80,152948837
40,41,Monero,XMR,141.56,18067982
41,42,The Sandbox,SAND,2.77,922239985
42,43,Elrond,EGLD,122.94,20631241
43,44,Theta Network,THETA,2.42,1000000000
44,45,Tezos,XTZ,2.74,875426144
45,46,BitTorrent,BTT,0.00,990000000000
46,47,Helium,HNT,20.94,109045856
47,48,Harmony,ONE,0.18,11596347164
48,49,EOS,EOS,2.08,978693517
49,50,IOTA,MIOTA,0.73,2779530283
50,51,Aave,AAVE,139.84,13486219
51,52,PancakeSwap,CAKE,7.07,261126390
52,53,The Graph,GRT,0.37,4715735200
53,54,Maker,MKR,1757.26,978069
54,55,Bitcoin SV,BSV,90.46,18960489
55,56,Stacks,STX,1.25,1294516463
56,57,Flow,FLOW,4.62,318082398
57,58,Kusama,KSM,168.48,8470098
58,59,TrueUSD,TUSD,1.00,1397074530
59,60,Huobi Token,HT,8.66,156741729
60,61,eCash,XEC,0.00,18960035923313
61,62,Gala,GALA,0.18,6977205436
62,63,Neo,NEO,17.06,70538831
63,64,OKB,OKB,20.15,60000000
64,65,Zcash,ZEC,87.83,13593694
65,66,Enjin Coin,ENJ,1.39,850965706
66,67,KuCoin Token,KCS,14.60,80118638
67,68,Curve DAO Token,CRV,2.57,453598465
68,69,Celo,CELO,3.00,387111233
69,70,Amp,AMP,0.03,42227702186
70,71,THORChain,RUNE,3.47,330688061
71,72,Quant,QNT,93.07,12072738
72,73,Oasis Network,ROSE,0.30,3493014306
73,74,Loopring,LRC,0.78,1329247433
74,75,Basic Attention Token,BAT,0.69,1494643334
75,76,Chiliz,CHZ,0.17,5955069766
76,77,Arweave,AR,29.20,33394701
77,78,Pax Dollar,USDP,1.00,945642940
78,79,Nexo,NEXO,1.66,560000011
79,80,Dash,DASH,85.13,10542786
80,81,Waves,WAVES,8.05,107309410
